name;commander_name;colors;power_level;interactivity;has_combos;is_budget;description;tags
Arcades - Defenders;Arcades, the Strategist;wug;5;6;1;1;Walls/defender tribal. Chunky blockers, Asymmetric board wipes. Possible infinite combo.;Creatures,Casual,Defenders,WUG,Counterspells,Board Wipes,Combat Damage,Flyers
Yidris - Storm;Yidris, Maelstrom Wielder;ubrg;9;1;1;1;4C storm using cantrips, flashback, tutors and mana doubling. Uses graveyard recursion and cascade to generate mana and cards.;UBRG,Cascade,Combo,High Power,Tutors,Recursion,Cantrips
Licia - Lifegain;Licia, Sanguine Tribune;wbr;5;3;0;1;Lifegain/lifeloss combined with voltron. Utilizing mardu removal and lots of incidential lifegain.;Budget,Mardu,Lifegain,Voltron,Board wipes,WIP, Casual
Queza - Draw/Wheels;Queza, Augur of Agonies;wub;6;5;1;1;Lots of card draw, drain and lifegain. Draw your deck and drain your opponents doing so.;Budget,Esper,Counterspells,Combo,Wheels,Drain,WIP
Denry - Counters;Denry Klin, Editor in Chief;wu;5;4;0;1;Copy all counters (first strike, vigilance, +1/+1 etc.) onto other creatures on etb. Using azorius value creatures.;Budget,Azorius,Janky,Counters,+1/+1,Combat damage,Casual
Klothys - Group Slug;Klothys, God of Destiny;rg;5;4;0;1;Punish abilities, spells and land drops. Double damage, and recur lands from your graveyard.;Budget,Gruul,Pingers,Double Damage,Lands,Clock
Subira - Aggro;Subira, Tulzidi Caravanner;r;5;2;0;1;Deploy lots of creatures/creature tokens and use subiras ability to refill your hand.;Budget,Mono,Aggro,Combat,Tokens,Clock
Lurrus - Permanents;Lurrus of the Dream-Den;wb;6;7;0;1;Deck consists of exclusively permanents with cmc<=2 for lurrus' ability. Strong removal and voltron package.;Budget,Orzhov,Lifegain,Voltron,Low CMC,Permanetns,Removal
Garth - Value;Garth One-Eye/Jegantha, the Wellspring;wubrg;6;7;0;1;Untap effects combined with land enchantments to produce lots of mana/untap valueable creatures (garth).;Budget,WUBRG,Untap,Big Mana,Alternative Wincon,Companion,Blink
Kumena - Merfolk;Kumena, Tyrant of Orazca;ug;7;6;1;0;Merfolk tribal utilizing untap/tap effects combined with simic card draw and ramp.;Simic,Counterspells,Tribal,Combat,Tutors
